SGR;signallingState;RD5
time;value;status
2019-07-11 00:36:47.000+0200;48;Grün
2019-07-11 00:37:18.000+0200;12;Gelb
2019-07-11 00:37:20.000+0200;3;Rot
2019-07-11 00:37:58.000+0200;15;Rot/Gelb
2019-07-11 00:37:59.000+0200;48;Grün
2019-07-11 00:38:30.000+0200;12;Gelb
2019-07-11 00:38:32.000+0200;3;Rot
2019-07-11 00:39:10.000+0200;15;Rot/Gelb
2019-07-11 00:39:11.000+0200;48;Grün
2019-07-11 00:39:42.000+0200;12;Gelb
2019-07-11 00:39:44.000+0200;3;Rot
2019-07-11 00:40:22.000+0200;15;Rot/Gelb
2019-07-11 00:40:23.000+0200;48;Grün
2019-07-11 00:40:54.000+0200;12;Gelb
2019-07-11 00:40:56.000+0200;3;Rot
2019-07-11 00:41:34.000+0200;15;Rot/Gelb
2019-07-11 00:41:35.000+0200;48;Grün
2019-07-11 00:42:06.000+0200;12;Gelb
2019-07-11 00:42:08.000+0200;3;Rot
2019-07-11 00:42:46.000+0200;15;Rot/Gelb
2019-07-11 00:42:47.000+0200;48;Grün
2019-07-11 00:43:18.000+0200;12;Gelb
2019-07-11 00:43:20.000+0200;3;Rot
2019-07-11 00:43:58.000+0200;15;Rot/Gelb
2019-07-11 00:43:59.000+0200;48;Grün
2019-07-11 00:44:30.000+0200;12;Gelb
2019-07-11 00:44:32.000+0200;3;Rot
2019-07-11 00:45:10.000+0200;15;Rot/Gelb
2019-07-11 00:45:11.000+0200;48;Grün
2019-07-11 00:45:42.000+0200;12;Gelb
2019-07-11 00:45:44.000+0200;3;Rot
2019-07-11 00:46:22.000+0200;15;Rot/Gelb
2019-07-11 00:46:23.000+0200;48;Grün
2019-07-11 00:46:54.000+0200;12;Gelb
2019-07-11 00:46:56.000+0200;3;Rot
2019-07-11 00:47:34.000+0200;15;Rot/Gelb
2019-07-11 00:47:35.000+0200;48;Grün
2019-07-11 00:48:06.000+0200;12;Gelb
2019-07-11 00:48:08.000+0200;3;Rot
2019-07-11 00:48:46.000+0200;15;Rot/Gelb
2019-07-11 00:48:47.000+0200;48;Grün
2019-07-11 00:49:18.000+0200;12;Gelb
2019-07-11 00:49:20.000+0200;3;Rot
2019-07-11 00:49:58.000+0200;15;Rot/Gelb
2019-07-11 00:49:59.000+0200;48;Grün
2019-07-11 00:50:30.000+0200;12;Gelb
2019-07-11 00:50:32.000+0200;3;Rot
2019-07-11 00:51:10.000+0200;15;Rot/Gelb
2019-07-11 00:51:11.000+0200;48;Grün
2019-07-11 00:51:42.000+0200;12;Gelb
2019-07-11 00:51:44.000+0200;3;Rot
2019-07-11 00:52:22.000+0200;15;Rot/Gelb
2019-07-11 00:52:23.000+0200;48;Grün
2019-07-11 00:52:54.000+0200;12;Gelb
2019-07-11 00:52:56.000+0200;3;Rot
2019-07-11 00:53:34.000+0200;15;Rot/Gelb
2019-07-11 00:53:35.000+0200;48;Grün
2019-07-11 00:54:06.000+0200;12;Gelb
2019-07-11 00:54:08.000+0200;3;Rot
2019-07-11 00:54:46.000+0200;15;Rot/Gelb
2019-07-11 00:54:47.000+0200;48;Grün
2019-07-11 00:55:18.000+0200;12;Gelb
2019-07-11 00:55:20.000+0200;3;Rot
2019-07-11 00:55:58.000+0200;15;Rot/Gelb
2019-07-11 00:55:59.000+0200;48;Grün
