SGR;signallingState;RD5
time;value;status
2019-07-11 02:41:34.000+0200;15;Rot/Gelb
2019-07-11 02:41:35.000+0200;48;Grün
2019-07-11 02:42:06.000+0200;12;Gelb
2019-07-11 02:42:08.000+0200;3;Rot
2019-07-11 02:42:46.000+0200;15;Rot/Gelb
2019-07-11 02:42:47.000+0200;48;Grün
2019-07-11 02:43:18.000+0200;12;Gelb
2019-07-11 02:43:20.000+0200;3;Rot
2019-07-11 02:43:58.000+0200;15;Rot/Gelb
2019-07-11 02:43:59.000+0200;48;Grün
2019-07-11 02:44:30.000+0200;12;Gelb
2019-07-11 02:44:32.000+0200;3;Rot
2019-07-11 02:45:10.000+0200;15;Rot/Gelb
2019-07-11 02:45:11.000+0200;48;Grün
2019-07-11 02:45:42.000+0200;12;Gelb
2019-07-11 02:45:44.000+0200;3;Rot
2019-07-11 02:46:22.000+0200;15;Rot/Gelb
2019-07-11 02:46:23.000+0200;48;Grün
2019-07-11 02:46:54.000+0200;12;Gelb
2019-07-11 02:46:56.000+0200;3;Rot
2019-07-11 02:47:34.000+0200;15;Rot/Gelb
2019-07-11 02:47:35.000+0200;48;Grün
2019-07-11 02:48:06.000+0200;12;Gelb
2019-07-11 02:48:08.000+0200;3;Rot
2019-07-11 02:48:46.000+0200;15;Rot/Gelb
2019-07-11 02:48:47.000+0200;48;Grün
2019-07-11 02:49:18.000+0200;12;Gelb
2019-07-11 02:49:20.000+0200;3;Rot
2019-07-11 02:49:58.000+0200;15;Rot/Gelb
2019-07-11 02:49:59.000+0200;48;Grün
2019-07-11 02:50:33.000+0200;12;Gelb
2019-07-11 02:50:35.000+0200;3;Rot
2019-07-11 02:51:13.000+0200;15;Rot/Gelb
2019-07-11 02:51:14.000+0200;48;Grün
2019-07-11 02:51:42.000+0200;12;Gelb
2019-07-11 02:51:44.000+0200;3;Rot
2019-07-11 02:52:22.000+0200;15;Rot/Gelb
2019-07-11 02:52:23.000+0200;48;Grün
2019-07-11 02:52:54.000+0200;12;Gelb
2019-07-11 02:52:56.000+0200;3;Rot
2019-07-11 02:53:34.000+0200;15;Rot/Gelb
2019-07-11 02:53:35.000+0200;48;Grün
2019-07-11 02:54:14.000+0200;12;Gelb
2019-07-11 02:54:16.000+0200;3;Rot
2019-07-11 02:54:54.000+0200;15;Rot/Gelb
2019-07-11 02:54:55.000+0200;48;Grün
2019-07-11 02:55:18.000+0200;12;Gelb
2019-07-11 02:55:20.000+0200;3;Rot
2019-07-11 02:55:58.000+0200;15;Rot/Gelb
2019-07-11 02:55:59.000+0200;48;Grün
2019-07-11 02:56:30.000+0200;12;Gelb
2019-07-11 02:56:32.000+0200;3;Rot
2019-07-11 02:57:10.000+0200;15;Rot/Gelb
2019-07-11 02:57:11.000+0200;48;Grün
2019-07-11 02:57:42.000+0200;12;Gelb
2019-07-11 02:57:44.000+0200;3;Rot
2019-07-11 02:58:22.000+0200;15;Rot/Gelb
2019-07-11 02:58:23.000+0200;48;Grün
2019-07-11 02:58:54.000+0200;12;Gelb
2019-07-11 02:58:56.000+0200;3;Rot
2019-07-11 02:59:34.000+0200;15;Rot/Gelb
2019-07-11 02:59:35.000+0200;48;Grün
2019-07-11 03:00:06.000+0200;12;Gelb
2019-07-11 03:00:08.000+0200;3;Rot
2019-07-11 03:00:46.000+0200;15;Rot/Gelb
2019-07-11 03:00:47.000+0200;48;Grün
2019-07-11 03:01:18.000+0200;12;Gelb
2019-07-11 03:01:20.000+0200;3;Rot
2019-07-11 03:01:58.000+0200;15;Rot/Gelb
2019-07-11 03:01:59.000+0200;48;Grün
2019-07-11 03:02:30.000+0200;12;Gelb
2019-07-11 03:02:32.000+0200;3;Rot
2019-07-11 03:03:10.000+0200;15;Rot/Gelb
2019-07-11 03:03:11.000+0200;48;Grün
2019-07-11 03:03:44.000+0200;12;Gelb
2019-07-11 03:03:46.000+0200;3;Rot
2019-07-11 03:04:24.000+0200;15;Rot/Gelb
2019-07-11 03:04:25.000+0200;48;Grün
2019-07-11 03:04:54.000+0200;12;Gelb
2019-07-11 03:04:56.000+0200;3;Rot
2019-07-11 03:05:34.000+0200;15;Rot/Gelb
2019-07-11 03:05:35.000+0200;48;Grün
2019-07-11 03:06:06.000+0200;12;Gelb
2019-07-11 03:06:08.000+0200;3;Rot
2019-07-11 03:06:46.000+0200;15;Rot/Gelb
2019-07-11 03:06:47.000+0200;48;Grün
2019-07-11 03:07:18.000+0200;12;Gelb
2019-07-11 03:07:20.000+0200;3;Rot
2019-07-11 03:07:58.000+0200;15;Rot/Gelb
2019-07-11 03:07:59.000+0200;48;Grün
2019-07-11 03:08:30.000+0200;12;Gelb
2019-07-11 03:08:32.000+0200;3;Rot
2019-07-11 03:09:10.000+0200;15;Rot/Gelb
2019-07-11 03:09:11.000+0200;48;Grün
2019-07-11 03:09:42.000+0200;12;Gelb
2019-07-11 03:09:44.000+0200;3;Rot
2019-07-11 03:10:22.000+0200;15;Rot/Gelb
2019-07-11 03:10:23.000+0200;48;Grün
2019-07-11 03:10:54.000+0200;12;Gelb
2019-07-11 03:10:56.000+0200;3;Rot
2019-07-11 03:11:34.000+0200;15;Rot/Gelb
2019-07-11 03:11:35.000+0200;48;Grün
2019-07-11 03:12:06.000+0200;12;Gelb
2019-07-11 03:12:08.000+0200;3;Rot
2019-07-11 03:12:46.000+0200;15;Rot/Gelb
2019-07-11 03:12:47.000+0200;48;Grün
2019-07-11 03:13:18.000+0200;12;Gelb
2019-07-11 03:13:20.000+0200;3;Rot
2019-07-11 03:13:58.000+0200;15;Rot/Gelb
2019-07-11 03:13:59.000+0200;48;Grün
2019-07-11 03:14:30.000+0200;12;Gelb
2019-07-11 03:14:32.000+0200;3;Rot
2019-07-11 03:15:10.000+0200;15;Rot/Gelb
2019-07-11 03:15:11.000+0200;48;Grün
2019-07-11 03:15:42.000+0200;12;Gelb
2019-07-11 03:15:44.000+0200;3;Rot
2019-07-11 03:16:22.000+0200;15;Rot/Gelb
2019-07-11 03:16:23.000+0200;48;Grün
2019-07-11 03:16:54.000+0200;12;Gelb
2019-07-11 03:16:56.000+0200;3;Rot
2019-07-11 03:17:34.000+0200;15;Rot/Gelb
2019-07-11 03:17:35.000+0200;48;Grün
2019-07-11 03:18:06.000+0200;12;Gelb
2019-07-11 03:18:08.000+0200;3;Rot
2019-07-11 03:18:46.000+0200;15;Rot/Gelb
2019-07-11 03:18:47.000+0200;48;Grün
2019-07-11 03:19:18.000+0200;12;Gelb
2019-07-11 03:19:20.000+0200;3;Rot
2019-07-11 03:19:58.000+0200;15;Rot/Gelb
2019-07-11 03:19:59.000+0200;48;Grün
2019-07-11 03:20:30.000+0200;12;Gelb
2019-07-11 03:20:32.000+0200;3;Rot
2019-07-11 03:21:10.000+0200;15;Rot/Gelb
2019-07-11 03:21:11.000+0200;48;Grün
2019-07-11 03:21:42.000+0200;12;Gelb
2019-07-11 03:21:44.000+0200;3;Rot
2019-07-11 03:22:22.000+0200;15;Rot/Gelb
2019-07-11 03:22:23.000+0200;48;Grün
2019-07-11 03:22:54.000+0200;12;Gelb
2019-07-11 03:22:56.000+0200;3;Rot
2019-07-11 03:23:34.000+0200;15;Rot/Gelb
2019-07-11 03:23:35.000+0200;48;Grün
2019-07-11 03:24:06.000+0200;12;Gelb
2019-07-11 03:24:08.000+0200;3;Rot
2019-07-11 03:24:46.000+0200;15;Rot/Gelb
2019-07-11 03:24:47.000+0200;48;Grün
2019-07-11 03:25:18.000+0200;12;Gelb
2019-07-11 03:25:20.000+0200;3;Rot
2019-07-11 03:25:58.000+0200;15;Rot/Gelb
2019-07-11 03:25:59.000+0200;48;Grün
2019-07-11 03:26:30.000+0200;12;Gelb
2019-07-11 03:26:32.000+0200;3;Rot
2019-07-11 03:27:10.000+0200;15;Rot/Gelb
2019-07-11 03:27:11.000+0200;48;Grün
2019-07-11 03:27:42.000+0200;12;Gelb
2019-07-11 03:27:44.000+0200;3;Rot
2019-07-11 03:28:22.000+0200;15;Rot/Gelb
2019-07-11 03:28:23.000+0200;48;Grün
2019-07-11 03:28:54.000+0200;12;Gelb
2019-07-11 03:28:56.000+0200;3;Rot
2019-07-11 03:29:34.000+0200;15;Rot/Gelb
2019-07-11 03:29:35.000+0200;48;Grün
2019-07-11 03:30:06.000+0200;12;Gelb
2019-07-11 03:30:08.000+0200;3;Rot
2019-07-11 03:30:47.000+0200;15;Rot/Gelb
2019-07-11 03:30:48.000+0200;48;Grün
2019-07-11 03:31:18.000+0200;12;Gelb
2019-07-11 03:31:20.000+0200;3;Rot
2019-07-11 03:31:58.000+0200;15;Rot/Gelb
2019-07-11 03:31:59.000+0200;48;Grün
2019-07-11 03:32:30.000+0200;12;Gelb
2019-07-11 03:32:32.000+0200;3;Rot
2019-07-11 03:33:10.000+0200;15;Rot/Gelb
2019-07-11 03:33:11.000+0200;48;Grün
2019-07-11 03:33:42.000+0200;12;Gelb
2019-07-11 03:33:44.000+0200;3;Rot
2019-07-11 03:34:22.000+0200;15;Rot/Gelb
2019-07-11 03:34:23.000+0200;48;Grün
2019-07-11 03:34:54.000+0200;12;Gelb
2019-07-11 03:34:56.000+0200;3;Rot
2019-07-11 03:35:34.000+0200;15;Rot/Gelb
2019-07-11 03:35:35.000+0200;48;Grün
2019-07-11 03:36:06.000+0200;12;Gelb
2019-07-11 03:36:08.000+0200;3;Rot
2019-07-11 03:36:46.000+0200;15;Rot/Gelb
2019-07-11 03:36:47.000+0200;48;Grün
2019-07-11 03:37:18.000+0200;12;Gelb
2019-07-11 03:37:20.000+0200;3;Rot
2019-07-11 03:37:58.000+0200;15;Rot/Gelb
2019-07-11 03:37:59.000+0200;48;Grün
2019-07-11 03:38:30.000+0200;12;Gelb
2019-07-11 03:38:32.000+0200;3;Rot
2019-07-11 03:39:10.000+0200;15;Rot/Gelb
2019-07-11 03:39:11.000+0200;48;Grün
2019-07-11 03:39:42.000+0200;12;Gelb
2019-07-11 03:39:44.000+0200;3;Rot
2019-07-11 03:40:22.000+0200;15;Rot/Gelb
2019-07-11 03:40:23.000+0200;48;Grün
2019-07-11 03:40:54.000+0200;12;Gelb
2019-07-11 03:40:56.000+0200;3;Rot
2019-07-11 03:41:34.000+0200;15;Rot/Gelb
2019-07-11 03:41:35.000+0200;48;Grün
2019-07-11 03:42:06.000+0200;12;Gelb
2019-07-11 03:42:08.000+0200;3;Rot
2019-07-11 03:42:46.000+0200;15;Rot/Gelb
2019-07-11 03:42:47.000+0200;48;Grün
2019-07-11 03:43:18.000+0200;12;Gelb
2019-07-11 03:43:20.000+0200;3;Rot
2019-07-11 03:43:58.000+0200;15;Rot/Gelb
2019-07-11 03:43:59.000+0200;48;Grün
2019-07-11 03:44:30.000+0200;12;Gelb
2019-07-11 03:44:32.000+0200;3;Rot
2019-07-11 03:45:10.000+0200;15;Rot/Gelb
2019-07-11 03:45:11.000+0200;48;Grün
2019-07-11 03:45:42.000+0200;12;Gelb
2019-07-11 03:45:44.000+0200;3;Rot
2019-07-11 03:46:22.000+0200;15;Rot/Gelb
2019-07-11 03:46:23.000+0200;48;Grün
2019-07-11 03:46:54.000+0200;12;Gelb
2019-07-11 03:46:56.000+0200;3;Rot
2019-07-11 03:47:34.000+0200;15;Rot/Gelb
2019-07-11 03:47:35.000+0200;48;Grün
2019-07-11 03:48:06.000+0200;12;Gelb
2019-07-11 03:48:08.000+0200;3;Rot
2019-07-11 03:48:46.000+0200;15;Rot/Gelb
2019-07-11 03:48:47.000+0200;48;Grün
2019-07-11 03:49:18.000+0200;12;Gelb
2019-07-11 03:49:20.000+0200;3;Rot
2019-07-11 03:49:58.000+0200;15;Rot/Gelb
2019-07-11 03:49:59.000+0200;48;Grün
2019-07-11 03:50:30.000+0200;12;Gelb
2019-07-11 03:50:32.000+0200;3;Rot
2019-07-11 03:51:10.000+0200;15;Rot/Gelb
2019-07-11 03:51:11.000+0200;48;Grün
2019-07-11 03:51:42.000+0200;12;Gelb
2019-07-11 03:51:44.000+0200;3;Rot
2019-07-11 03:52:22.000+0200;15;Rot/Gelb
2019-07-11 03:52:23.000+0200;48;Grün
2019-07-11 03:52:54.000+0200;12;Gelb
2019-07-11 03:52:56.000+0200;3;Rot
2019-07-11 03:53:35.000+0200;15;Rot/Gelb
2019-07-11 03:53:36.000+0200;48;Grün
2019-07-11 03:54:06.000+0200;12;Gelb
2019-07-11 03:54:08.000+0200;3;Rot
2019-07-11 03:54:46.000+0200;15;Rot/Gelb
2019-07-11 03:54:47.000+0200;48;Grün
2019-07-11 03:55:18.000+0200;12;Gelb
2019-07-11 03:55:20.000+0200;3;Rot
2019-07-11 03:55:58.000+0200;15;Rot/Gelb
2019-07-11 03:55:59.000+0200;48;Grün
2019-07-11 03:56:30.000+0200;12;Gelb
2019-07-11 03:56:32.000+0200;3;Rot
2019-07-11 03:57:10.000+0200;15;Rot/Gelb
2019-07-11 03:57:11.000+0200;48;Grün
2019-07-11 03:57:42.000+0200;12;Gelb
2019-07-11 03:57:44.000+0200;3;Rot
2019-07-11 03:58:22.000+0200;15;Rot/Gelb
2019-07-11 03:58:23.000+0200;48;Grün
2019-07-11 03:58:54.000+0200;12;Gelb
2019-07-11 03:58:56.000+0200;3;Rot
2019-07-11 03:59:34.000+0200;15;Rot/Gelb
2019-07-11 03:59:35.000+0200;48;Grün
2019-07-11 04:00:06.000+0200;12;Gelb
2019-07-11 04:00:08.000+0200;3;Rot
2019-07-11 04:00:46.000+0200;15;Rot/Gelb
2019-07-11 04:00:47.000+0200;48;Grün
2019-07-11 04:01:18.000+0200;12;Gelb
2019-07-11 04:01:20.000+0200;3;Rot
2019-07-11 04:01:58.000+0200;15;Rot/Gelb
2019-07-11 04:01:59.000+0200;48;Grün
2019-07-11 04:02:30.000+0200;12;Gelb
2019-07-11 04:02:32.000+0200;3;Rot
2019-07-11 04:03:10.000+0200;15;Rot/Gelb
2019-07-11 04:03:11.000+0200;48;Grün
2019-07-11 04:03:42.000+0200;12;Gelb
2019-07-11 04:03:44.000+0200;3;Rot
2019-07-11 04:04:22.000+0200;15;Rot/Gelb
2019-07-11 04:04:23.000+0200;48;Grün
2019-07-11 04:04:54.000+0200;12;Gelb
2019-07-11 04:04:56.000+0200;3;Rot
2019-07-11 04:05:34.000+0200;15;Rot/Gelb
2019-07-11 04:05:35.000+0200;48;Grün
2019-07-11 04:06:06.000+0200;12;Gelb
2019-07-11 04:06:08.000+0200;3;Rot
2019-07-11 04:06:46.000+0200;15;Rot/Gelb
2019-07-11 04:06:47.000+0200;48;Grün
2019-07-11 04:07:18.000+0200;12;Gelb
2019-07-11 04:07:20.000+0200;3;Rot
2019-07-11 04:07:58.000+0200;15;Rot/Gelb
2019-07-11 04:07:59.000+0200;48;Grün
2019-07-11 04:08:30.000+0200;12;Gelb
2019-07-11 04:08:32.000+0200;3;Rot
2019-07-11 04:09:10.000+0200;15;Rot/Gelb
2019-07-11 04:09:11.000+0200;48;Grün
2019-07-11 04:09:42.000+0200;12;Gelb
2019-07-11 04:09:44.000+0200;3;Rot
2019-07-11 04:10:22.000+0200;15;Rot/Gelb
2019-07-11 04:10:23.000+0200;48;Grün
2019-07-11 04:10:54.000+0200;12;Gelb
2019-07-11 04:10:56.000+0200;3;Rot
2019-07-11 04:11:34.000+0200;15;Rot/Gelb
2019-07-11 04:11:35.000+0200;48;Grün
2019-07-11 04:12:06.000+0200;12;Gelb
2019-07-11 04:12:08.000+0200;3;Rot
2019-07-11 04:12:46.000+0200;15;Rot/Gelb
2019-07-11 04:12:47.000+0200;48;Grün
2019-07-11 04:13:18.000+0200;12;Gelb
2019-07-11 04:13:20.000+0200;3;Rot
2019-07-11 04:13:58.000+0200;15;Rot/Gelb
2019-07-11 04:13:59.000+0200;48;Grün
2019-07-11 04:14:30.000+0200;12;Gelb
2019-07-11 04:14:32.000+0200;3;Rot
2019-07-11 04:15:10.000+0200;15;Rot/Gelb
2019-07-11 04:15:11.000+0200;48;Grün
2019-07-11 04:15:42.000+0200;12;Gelb
2019-07-11 04:15:44.000+0200;3;Rot
2019-07-11 04:16:22.000+0200;15;Rot/Gelb
2019-07-11 04:16:23.000+0200;48;Grün
2019-07-11 04:16:54.000+0200;12;Gelb
2019-07-11 04:16:56.000+0200;3;Rot
2019-07-11 04:17:34.000+0200;15;Rot/Gelb
2019-07-11 04:17:35.000+0200;48;Grün
2019-07-11 04:18:06.000+0200;12;Gelb
2019-07-11 04:18:08.000+0200;3;Rot
2019-07-11 04:18:46.000+0200;15;Rot/Gelb
2019-07-11 04:18:47.000+0200;48;Grün
2019-07-11 04:19:18.000+0200;12;Gelb
2019-07-11 04:19:20.000+0200;3;Rot
2019-07-11 04:19:58.000+0200;15;Rot/Gelb
2019-07-11 04:19:59.000+0200;48;Grün
2019-07-11 04:20:30.000+0200;12;Gelb
2019-07-11 04:20:32.000+0200;3;Rot
2019-07-11 04:21:10.000+0200;15;Rot/Gelb
2019-07-11 04:21:11.000+0200;48;Grün
2019-07-11 04:21:42.000+0200;12;Gelb
2019-07-11 04:21:44.000+0200;3;Rot
2019-07-11 04:22:22.000+0200;15;Rot/Gelb
2019-07-11 04:22:23.000+0200;48;Grün
2019-07-11 04:22:54.000+0200;12;Gelb
2019-07-11 04:22:56.000+0200;3;Rot
2019-07-11 04:23:34.000+0200;15;Rot/Gelb
2019-07-11 04:23:35.000+0200;48;Grün
2019-07-11 04:24:06.000+0200;12;Gelb
2019-07-11 04:24:08.000+0200;3;Rot
2019-07-11 04:24:46.000+0200;15;Rot/Gelb
2019-07-11 04:24:47.000+0200;48;Grün
2019-07-11 04:25:18.000+0200;12;Gelb
2019-07-11 04:25:20.000+0200;3;Rot
2019-07-11 04:25:58.000+0200;15;Rot/Gelb
2019-07-11 04:25:59.000+0200;48;Grün
2019-07-11 04:26:30.000+0200;12;Gelb
2019-07-11 04:26:32.000+0200;3;Rot
2019-07-11 04:27:10.000+0200;15;Rot/Gelb
2019-07-11 04:27:11.000+0200;48;Grün
2019-07-11 04:27:42.000+0200;12;Gelb
2019-07-11 04:27:44.000+0200;3;Rot
2019-07-11 04:28:22.000+0200;15;Rot/Gelb
2019-07-11 04:28:23.000+0200;48;Grün
2019-07-11 04:28:54.000+0200;12;Gelb
2019-07-11 04:28:56.000+0200;3;Rot
2019-07-11 04:29:34.000+0200;15;Rot/Gelb
2019-07-11 04:29:35.000+0200;48;Grün
2019-07-11 04:30:06.000+0200;12;Gelb
2019-07-11 04:30:08.000+0200;3;Rot
2019-07-11 04:30:46.000+0200;15;Rot/Gelb
2019-07-11 04:30:47.000+0200;48;Grün
2019-07-11 04:31:18.000+0200;12;Gelb
2019-07-11 04:31:20.000+0200;3;Rot
2019-07-11 04:31:58.000+0200;15;Rot/Gelb
2019-07-11 04:31:59.000+0200;48;Grün
2019-07-11 04:32:30.000+0200;12;Gelb
2019-07-11 04:32:32.000+0200;3;Rot
2019-07-11 04:33:10.000+0200;15;Rot/Gelb
2019-07-11 04:33:11.000+0200;48;Grün
2019-07-11 04:33:42.000+0200;12;Gelb
2019-07-11 04:33:44.000+0200;3;Rot
2019-07-11 04:34:22.000+0200;15;Rot/Gelb
2019-07-11 04:34:23.000+0200;48;Grün
2019-07-11 04:34:54.000+0200;12;Gelb
2019-07-11 04:34:56.000+0200;3;Rot
2019-07-11 04:35:34.000+0200;15;Rot/Gelb
2019-07-11 04:35:35.000+0200;48;Grün
2019-07-11 04:36:06.000+0200;12;Gelb
2019-07-11 04:36:08.000+0200;3;Rot
2019-07-11 04:36:46.000+0200;15;Rot/Gelb
2019-07-11 04:36:47.000+0200;48;Grün
2019-07-11 04:37:18.000+0200;12;Gelb
2019-07-11 04:37:20.000+0200;3;Rot
2019-07-11 04:37:58.000+0200;15;Rot/Gelb
2019-07-11 04:37:59.000+0200;48;Grün
2019-07-11 04:38:30.000+0200;12;Gelb
2019-07-11 04:38:32.000+0200;3;Rot
2019-07-11 04:39:10.000+0200;15;Rot/Gelb
2019-07-11 04:39:11.000+0200;48;Grün
2019-07-11 04:39:42.000+0200;12;Gelb
2019-07-11 04:39:44.000+0200;3;Rot
2019-07-11 04:40:22.000+0200;15;Rot/Gelb
2019-07-11 04:40:23.000+0200;48;Grün
2019-07-11 04:40:54.000+0200;12;Gelb
2019-07-11 04:40:56.000+0200;3;Rot
2019-07-11 04:41:34.000+0200;15;Rot/Gelb
2019-07-11 04:41:35.000+0200;48;Grün
2019-07-11 04:42:06.000+0200;12;Gelb
2019-07-11 04:42:08.000+0200;3;Rot
2019-07-11 04:42:46.000+0200;15;Rot/Gelb
2019-07-11 04:42:47.000+0200;48;Grün
2019-07-11 04:43:18.000+0200;12;Gelb
2019-07-11 04:43:20.000+0200;3;Rot
2019-07-11 04:43:58.000+0200;15;Rot/Gelb
2019-07-11 04:43:59.000+0200;48;Grün
2019-07-11 04:44:30.000+0200;12;Gelb
2019-07-11 04:44:32.000+0200;3;Rot
2019-07-11 04:45:10.000+0200;15;Rot/Gelb
2019-07-11 04:45:11.000+0200;48;Grün
2019-07-11 04:45:42.000+0200;12;Gelb
2019-07-11 04:45:44.000+0200;3;Rot
2019-07-11 04:46:22.000+0200;15;Rot/Gelb
2019-07-11 04:46:23.000+0200;48;Grün
2019-07-11 04:46:58.000+0200;12;Gelb
2019-07-11 04:47:00.000+0200;3;Rot
2019-07-11 04:47:38.000+0200;15;Rot/Gelb
2019-07-11 04:47:39.000+0200;48;Grün
2019-07-11 04:48:06.000+0200;12;Gelb
2019-07-11 04:48:08.000+0200;3;Rot
2019-07-11 04:48:46.000+0200;15;Rot/Gelb
2019-07-11 04:48:47.000+0200;48;Grün
2019-07-11 04:49:18.000+0200;12;Gelb
2019-07-11 04:49:20.000+0200;3;Rot
2019-07-11 04:49:58.000+0200;15;Rot/Gelb
2019-07-11 04:49:59.000+0200;48;Grün
2019-07-11 04:50:30.000+0200;12;Gelb
2019-07-11 04:50:32.000+0200;3;Rot
2019-07-11 04:51:10.000+0200;15;Rot/Gelb
2019-07-11 04:51:11.000+0200;48;Grün
2019-07-11 04:51:42.000+0200;12;Gelb
2019-07-11 04:51:44.000+0200;3;Rot
2019-07-11 04:52:22.000+0200;15;Rot/Gelb
2019-07-11 04:52:23.000+0200;48;Grün
2019-07-11 04:52:54.000+0200;12;Gelb
2019-07-11 04:52:56.000+0200;3;Rot
2019-07-11 04:53:34.000+0200;15;Rot/Gelb
2019-07-11 04:53:35.000+0200;48;Grün
2019-07-11 04:54:06.000+0200;12;Gelb
2019-07-11 04:54:08.000+0200;3;Rot
2019-07-11 04:54:46.000+0200;15;Rot/Gelb
2019-07-11 04:54:47.000+0200;48;Grün
2019-07-11 04:55:18.000+0200;12;Gelb
2019-07-11 04:55:20.000+0200;3;Rot
2019-07-11 04:55:58.000+0200;15;Rot/Gelb
2019-07-11 04:55:59.000+0200;48;Grün
2019-07-11 04:56:30.000+0200;12;Gelb
2019-07-11 04:56:32.000+0200;3;Rot
2019-07-11 04:57:10.000+0200;15;Rot/Gelb
2019-07-11 04:57:11.000+0200;48;Grün
2019-07-11 04:57:42.000+0200;12;Gelb
2019-07-11 04:57:44.000+0200;3;Rot
2019-07-11 04:58:22.000+0200;15;Rot/Gelb
2019-07-11 04:58:23.000+0200;48;Grün
2019-07-11 04:58:54.000+0200;12;Gelb
2019-07-11 04:58:56.000+0200;3;Rot
2019-07-11 04:59:34.000+0200;15;Rot/Gelb
2019-07-11 04:59:35.000+0200;48;Grün
2019-07-11 05:00:06.000+0200;12;Gelb
2019-07-11 05:00:08.000+0200;3;Rot
2019-07-11 05:00:46.000+0200;15;Rot/Gelb
2019-07-11 05:00:47.000+0200;48;Grün
2019-07-11 05:01:18.000+0200;12;Gelb
2019-07-11 05:01:20.000+0200;3;Rot
2019-07-11 05:01:58.000+0200;15;Rot/Gelb
2019-07-11 05:01:59.000+0200;48;Grün
2019-07-11 05:02:30.000+0200;12;Gelb
2019-07-11 05:02:32.000+0200;3;Rot
2019-07-11 05:03:10.000+0200;15;Rot/Gelb
2019-07-11 05:03:11.000+0200;48;Grün
2019-07-11 05:03:42.000+0200;12;Gelb
2019-07-11 05:03:44.000+0200;3;Rot
2019-07-11 05:04:22.000+0200;15;Rot/Gelb
2019-07-11 05:04:23.000+0200;48;Grün
2019-07-11 05:05:02.000+0200;12;Gelb
2019-07-11 05:05:04.000+0200;3;Rot
2019-07-11 05:05:42.000+0200;15;Rot/Gelb
2019-07-11 05:05:43.000+0200;48;Grün
2019-07-11 05:06:06.000+0200;12;Gelb
2019-07-11 05:06:08.000+0200;3;Rot
2019-07-11 05:06:47.000+0200;15;Rot/Gelb
2019-07-11 05:06:48.000+0200;48;Grün
2019-07-11 05:07:18.000+0200;12;Gelb
2019-07-11 05:07:20.000+0200;3;Rot
2019-07-11 05:07:58.000+0200;15;Rot/Gelb
2019-07-11 05:07:59.000+0200;48;Grün
2019-07-11 05:08:30.000+0200;12;Gelb
2019-07-11 05:08:32.000+0200;3;Rot
2019-07-11 05:09:10.000+0200;15;Rot/Gelb
2019-07-11 05:09:11.000+0200;48;Grün
2019-07-11 05:09:50.000+0200;12;Gelb
2019-07-11 05:09:52.000+0200;3;Rot
2019-07-11 05:10:30.000+0200;15;Rot/Gelb
2019-07-11 05:10:31.000+0200;48;Grün
2019-07-11 05:10:54.000+0200;12;Gelb
2019-07-11 05:10:56.000+0200;3;Rot
2019-07-11 05:11:37.000+0200;15;Rot/Gelb
2019-07-11 05:11:38.000+0200;48;Grün
2019-07-11 05:12:06.000+0200;12;Gelb
2019-07-11 05:12:08.000+0200;3;Rot
2019-07-11 05:12:46.000+0200;15;Rot/Gelb
2019-07-11 05:12:47.000+0200;48;Grün
2019-07-11 05:13:18.000+0200;12;Gelb
2019-07-11 05:13:20.000+0200;3;Rot
2019-07-11 05:13:58.000+0200;15;Rot/Gelb
2019-07-11 05:13:59.000+0200;48;Grün
2019-07-11 05:14:30.000+0200;12;Gelb
2019-07-11 05:14:32.000+0200;3;Rot
2019-07-11 05:15:10.000+0200;15;Rot/Gelb
2019-07-11 05:15:11.000+0200;48;Grün
2019-07-11 05:15:45.000+0200;12;Gelb
2019-07-11 05:15:47.000+0200;3;Rot
2019-07-11 05:16:25.000+0200;15;Rot/Gelb
2019-07-11 05:16:26.000+0200;48;Grün
2019-07-11 05:16:54.000+0200;12;Gelb
2019-07-11 05:16:56.000+0200;3;Rot
2019-07-11 05:17:34.000+0200;15;Rot/Gelb
2019-07-11 05:17:35.000+0200;48;Grün
2019-07-11 05:18:06.000+0200;12;Gelb
2019-07-11 05:18:08.000+0200;3;Rot
2019-07-11 05:18:46.000+0200;15;Rot/Gelb
2019-07-11 05:18:47.000+0200;48;Grün
2019-07-11 05:19:18.000+0200;12;Gelb
2019-07-11 05:19:20.000+0200;3;Rot
2019-07-11 05:19:59.000+0200;15;Rot/Gelb
2019-07-11 05:20:00.000+0200;48;Grün
2019-07-11 05:20:30.000+0200;12;Gelb
2019-07-11 05:20:32.000+0200;3;Rot
2019-07-11 05:21:10.000+0200;15;Rot/Gelb
2019-07-11 05:21:11.000+0200;48;Grün
2019-07-11 05:21:42.000+0200;12;Gelb
2019-07-11 05:21:44.000+0200;3;Rot
2019-07-11 05:22:22.000+0200;15;Rot/Gelb
2019-07-11 05:22:23.000+0200;48;Grün
2019-07-11 05:22:49.000+0200;12;Gelb
2019-07-11 05:22:51.000+0200;3;Rot
2019-07-11 05:23:29.000+0200;15;Rot/Gelb
2019-07-11 05:23:30.000+0200;48;Grün
2019-07-11 05:24:06.000+0200;12;Gelb
2019-07-11 05:24:08.000+0200;3;Rot
2019-07-11 05:24:47.000+0200;15;Rot/Gelb
2019-07-11 05:24:48.000+0200;48;Grün
2019-07-11 05:25:18.000+0200;12;Gelb
2019-07-11 05:25:20.000+0200;3;Rot
